#Enlgish, French, German, Italian, Spanish, Dutch, Swedish
#@numbers
sixty-one,soixante et un,einundsechzig,sessantuno,sesenta y uno,eenenzestig,sextioett
sixty-two,soixante-deux,zweiundsechzig,sessantadue,sesenta y dos,tweeënzestig,sextiotvå
sixty-three,soixante-trois,dreiundsechzig,sessantatre,sesenta y tres,drieënzestig,sextiotre
sixty-four,soixante-quatre,vierundsechzig,sessantaquattro,sesenta y cuatro,vierenzestig,sextiofyra
sixty-five,soixante-cinq,fünfundsechzig,sessantacinque,sesenta y cinco,vijfenzestig,sextiofem
sixty-six,soixante-six,sechsundsechzig,sessantasei,sesenta y seis,zesenzestig,sextiosex
sixty-seven,soixante-sept,siebenundsechzig,sessantasette,sesenta y siete,zevenenzestig,sextiosju
sixty-eight,soixante-huit,achtundsechzig,sessantotto,sesenta y ocho,achtenzestig,sextioåtta
sixty-nine,soixante-neuf,neunundsechzig,sessantanove,sesenta y nueve,negenenzestig,sextionio
seventy,soixante-dix,siebzig,settanta,setenta,zeventig,sjuttio
seventy-one,soixante et onze,einundsiebzig,settantuno,setenta y uno,eenenzeventig,sjuttioett
seventy-two,soixante-douze,zweiundsiebzig,settantadue,setenta y dos,tweeënzeventig,sjuttiotvå
seventy-three,soixante-treize,dreiundsiebzig,settantatre,setenta y tres,drieënzeventig,sjuttiotre
seventy-four,soixante-quatorze,vierundsiebzig,settantaquattro,setenta y cuatro,vierenzeventig,sjuttiofyra
seventy-five,soixante-quinze,fünfundsiebzig,settantacinque,setenta y cinco,vijfenzeventig,sjuttiofem
seventy-six,soixante-seize,sechsundsiebzig,settantasei,setenta y seis,zesenzeventig,sjuttiosex
seventy-seven,soixante-dix-sept,siebenundsiebzig,settantasette,setenta y siete,zevenenzeventig,sjuttiosju
seventy-eight,soixante-dix-huit,achtundsiebzig,settantotto,setenta y ocho,achtenzeventig,sjuttioåtta
seventy-nine,soixante-dix-neuf,neunundsiebzig,settantanove,setenta y nueve,negenenzeventig,sjuttionio
eighty,quatre-vingts,achtzig,ottanta,ochenta,tachtig,åttio
eighty-one,quatre-vingt-un,einundachtzig,ottantuno,ochenta y uno,eenentachtig,åttioett
eighty-two,quatre-vingt-deux,zweiundachtzig,ottantadue,ochenta y dos,tweeëntachtig,åttiotvå
eighty-three,quatre-vingt-trois,dreiundachtzig,ottantatre,ochenta y tres,drieëntachtig,åttiotre
eighty-four,quatre-vingt-quatre,vierundachtzig,ottantaquattro,ochenta y cuatro,vierentachtig,åttiofyra
eighty-five,quatre-vingt-cinq,fünfundachtzig,ottantacinque,ochenta y cinco,vijfentachtig,åttiofem
eighty-six,quatre-vingt-six,sechsundachtzig,ottantasei,ochenta y seis,zesentachtig,åttiosex
eighty-seven,quatre-vingt-sept,siebenundachtzig,ottantasette,ochenta y siete,zevenentachtig,åttiosju
eighty-eight,quatre-vingt-huit,achtundachtzig,ottantotto,ochenta y ocho,achtentachtig,åttioåtta
eighty-nine,quatre-vingt-neuf,neunundachtzig,ottantanove,ochenta y nueve,negenentachtig,åttionio
ninety,quatre-vingt-dix,neunzig,novanta,noventa,negentig,nittio
ninety-one,quatre-vingt-onze,einundneunzig,novantuno,noventa y uno,eenennegentig,nittioett
ninety-two,quatre-vingt-douze,zweiundneunzig,novantadue,noventa y dos,tweeënnegentig,nittiotvå
ninety-three,quatre-vingt-treize,dreiundneunzig,novantatre,noventa y tres,drieënnegentig,nittiotre
ninety-four,quatre-vingt-quatorze,vierundneunzig,novantaquattro,noventa y cuatro,vierennegentig,nittiofyra
ninety-five,quatre-vingt-quinze,fünfundneunzig,novantacinque,noventa y cinco,vijfennegentig,nittiofem
ninety-six,quatre-vingt-seize,sechsundneunzig,novantasei,noventa y seis,zesennegentig,nittiosex
ninety-seven,quatre-vingt-dix-sept,siebenundneunzig,novantasette,noventa y siete,zevenennegentig,nittiosju
ninety-eight,quatre-vingt-dix-huit,achtundneunzig,novantotto,noventa y ocho,achtennegentig,nittioåtta
ninety-nine,quatre-vingt-dix-neuf,neunundneunzig,novantanove,noventa y nueve,negenennegentig,nittionio
one hundred,cent,einhundert,cento,cien,honderd,hundra
